Anime_Base,Titulo_Completo,URL,Imagem,Tipo,Provider
"7.721 Killing Bites Jan. 13, 2018","7.721 Killing Bites Jan. 13, 2018",https://animeshd.to/animes/killing-bites/,https://animeshd.to/wp-content/uploads/2024/12/4WhT5OREpU2ZKmj1LsdPU7ryInA-185x278.jpg,Legendado,AnimesHD
"5.9 Eromanga Sensei Apr. 09, 2017","5.9 Eromanga Sensei Apr. 09, 2017",https://animeshd.to/animes/eromanga-sensei/,https://animeshd.to/wp-content/uploads/2024/12/vR6rPnVyWUSU7im2QcKXwSjjCXM-185x278.jpg,Legendado,AnimesHD
"8.5 Gakuen Basara Oct. 04, 2018","8.5 Gakuen Basara Oct. 04, 2018",https://animeshd.to/animes/gakuen-basara/,https://animeshd.to/wp-content/uploads/2024/12/p3szeufDn4eFriGqdegWgA9sNsy-185x278.jpg,Legendado,AnimesHD
"6.7 Mato Seihei no Slave Jan. 04, 2024","6.7 Mato Seihei no Slave Jan. 04, 2024",https://animeshd.to/animes/mato-seihei-no-slave/,https://animeshd.to/wp-content/uploads/2024/12/ieI3bn3oBKkqbJtYEPiaCV22Gps-185x278.jpg,Legendado,AnimesHD
"5.4 Meitou “Isekai no Yu” Kaitakuki: Around 40 Onsen Mania no Tensei Saki wa, Nonbiri Onsen Tengoku deshita Jan. 12, 2024","5.4 Meitou “Isekai no Yu” Kaitakuki: Around 40 Onsen Mania no Tensei Saki wa, Nonbiri Onsen Tengoku deshita Jan. 12, 2024",https://animeshd.to/animes/meitou-isekai-no-yu-kaitakuki-around-40-onsen-mania-no-tensei-saki-wa-nonbiri-onsen-tengoku-deshita/,https://animeshd.to/wp-content/uploads/2024/12/cPMGW8MEvNMS7n0fK2y4JN7wuTX-185x278.jpg,Legendado,AnimesHD
"7.654 Classroom☆Crisis Jul. 04, 2015","7.654 Classroom☆Crisis Jul. 04, 2015",https://animeshd.to/animes/classroom%e2%98%86crisis/,https://animeshd.to/wp-content/uploads/2024/12/12vvTklZaXHSvfyuQMoi8HuHbh4-185x278.jpg,Legendado,AnimesHD
"7.194 Sekirei Jul. 02, 2008","7.194 Sekirei Jul. 02, 2008",https://animeshd.to/animes/sekirei/,https://animeshd.to/wp-content/uploads/2024/12/72gRgK8t7FSqY3El41nguj272vR-185x278.jpg,Legendado,AnimesHD
"6.1 Araiya-san!: Ore to Aitsu ga Onnayu de!? Apr. 08, 2019","6.1 Araiya-san!: Ore to Aitsu ga Onnayu de!? Apr. 08, 2019",https://animeshd.to/animes/araiya-san-ore-to-aitsu-ga-onnayu-de/,https://animeshd.to/wp-content/uploads/2024/11/upxgNd7JdqbxUXDuEkgba18iG8F-185x278.jpg,Legendado,AnimesHD
"8.4 Hajimete no Gal Jul. 12, 2017","8.4 Hajimete no Gal Jul. 12, 2017",https://animeshd.to/animes/hajimete-no-gal/,https://animeshd.to/wp-content/uploads/2024/11/qGXd58PIikQdX5vDXecAMgns6w6-185x278.jpg,Legendado,AnimesHD
"7.716 Beyblade Dublado Jan. 08, 2001","7.716 Beyblade Dublado Jan. 08, 2001",https://animeshd.to/animes/beyblade-dublado/,https://animeshd.to/wp-content/uploads/2024/11/nIJC8EUydKMXf0Xy8qd4nCqrQGa-185x278.jpg,Dublado,AnimesHD
"7.811 Suki na Ko ga Megane wo Wasureta Jul. 04, 2023","7.811 Suki na Ko ga Megane wo Wasureta Jul. 04, 2023",https://animeshd.to/animes/suki-na-ko-ga-megane-wo-wasureta/,https://animeshd.to/wp-content/uploads/2024/11/76mprLhXILnPtnBr8VBoFxIpx5i-185x278.jpg,Legendado,AnimesHD
"8.162 Gleipnir Apr. 05, 2020","8.162 Gleipnir Apr. 05, 2020",https://animeshd.to/animes/gleipnir/,https://animeshd.to/wp-content/uploads/2024/11/wL92NrPahJSnH1971tX6FI0PkUl-185x278.jpg,Legendado,AnimesHD
